Ilan no,il,Emlak Tipi,m² (Brüt),m² (Net),Oda Sayısı,Bina Yaşı,Bulunduğu Kat,Kat Sayısı,Isıtma turu,Banyo Sayısı,Balkon sayisi,Asansör,Otopark,Site İçerisinde,Aidat (TL),Krediye Uygun,fiyat
1011499,Mersin,Daire,202,149,2,46,6,8,Doğalgaz (Kombi),3,1,True,True,False,0,False,919872
1006475,İzmir,Daire,227,163,3,40,3,4,Doğalgaz (Kombi),1,2,True,False,False,22,True,3302065
1013167,İstanbul,Arsa,423,423,0,42,3,12,Soba,1,0,False,False,False,0,False,4742538
1000862,Antalya,Daire,163,129,2,2,2,14,Doğalgaz (Kombi),3,1,True,True,True,535,False,1258417
1005970,Mersin,Daire,78,58,3,62,0,8,Klima,2,1,True,False,False,16,True,433298
1006706,İstanbul,Daire,190,173,3,19,1,2,Klima,1,0,False,False,True,229,True,3143322
1003017,Bursa,Villa,154,125,5,71,4,12,Doğalgaz (Kombi),2,1,True,False,False,123,True,1812444
1003781,İzmir,Daire,217,195,3,2,1,3,Klima,3,1,True,False,True,266,True,2497624
1003898,İzmir,Daire,222,170,1,41,5,12,Klima,1,3,True,False,False,0,True,2131857
1002250,Konya,Daire,206,187,3,50,0,4,Doğalgaz (Kombi),2,1,True,True,False,98,True,783479
1000542,İstanbul,Daire,154,127,2,25,3,6,Doğalgaz (Kombi),2,1,True,False,False,161,True,3011206
1004351,Adana,Daire,120,109,3,22,5,13,Doğalgaz (Kombi),2,2,True,True,False,73,True,891935
1012807,İstanbul,Daire,147,112,1,20,1,8,Yerden Isıtma,1,0,True,True,True,100,True,3684464
1006631,Malatya,Daire,109,78,3,50,0,9,Merkezi,2,1,True,True,False,29,True,339112
1006705,İstanbul,Daire,58,46,5,28,4,5,Doğalgaz (Kombi),3,1,True,False,True,100,True,1224270
1006978,Ankara,Daire,244,224,4,16,3,9,Soba,3,3,True,True,True,590,True,3111400
1007399,Ankara,Daire,99,87,1,40,12,16,Doğalgaz (Kombi),3,1,True,True,False,0,True,813615
1011119,Adana,Daire,169,155,1,15,3,5,Isıtma Yok,2,1,True,False,False,0,True,1147437
1012665,İzmir,Dükkan,240,199,0,17,8,16,Doğalgaz (Kombi),3,1,False,False,False,0,False,4693432
1005304,Trabzon,Daire,101,91,1,72,4,8,Merkezi,1,1,True,False,True,100,True,368320
1002312,Samsun,Daire,64,53,2,3,15,16,Doğalgaz (Kombi),1,1,False,True,False,5,True,239699
1007040,Ankara,Daire,104,84,2,43,2,3,Merkezi,2,1,False,False,False,16,True,1321463
1001889,Adana,Daire,67,48,3,10,0,16,Doğalgaz (Kombi),2,2,True,True,False,61,True,459439
1008991,İstanbul,Daire,146,112,2,59,6,15,Merkezi,1,2,True,True,False,179,True,3947801
1000169,Bursa,Arsa,1155,1155,0,9,0,11,Doğalgaz (Kombi),1,1,True,False,False,126,False,4486179
1001795,Mersin,Daire,226,204,2,41,1,6,Doğalgaz (Kombi),3,0,True,False,False,99,True,1290389
1003975,Antalya,Daire,216,172,4,41,5,11,Doğalgaz (Kombi),2,1,True,False,False,0,True,2630830
1006820,İstanbul,Daire,111,79,2,3,2,6,Merkezi,1,1,True,True,False,43,True,3004679
1007826,Antalya,Daire,102,76,1,39,2,11,Doğalgaz (Kombi),1,0,True,True,False,24,True,755186
1011809,Ankara,Daire,156,138,2,56,2,4,Merkezi,2,1,True,True,True,389,True,1044649
1001039,Samsun,Daire,95,86,2,28,3,7,Klima,1,1,False,False,False,0,True,454499
1002848,Ankara,Ofis,308,273,1,7,4,10,Doğalgaz (Kombi),1,1,False,True,False,0,False,2859448
1003371,Konya,Daire,168,122,3,32,4,13,Doğalgaz (Kombi),2,0,True,False,True,100,True,813251
1008829,Adana,Daire,203,175,5,9,3,5,Klima,1,1,True,False,False,112,True,1134647
1010349,Mersin,Daire,131,93,4,27,3,7,Merkezi,2,1,True,True,False,21,True,664135
1008797,İstanbul,Daire,38,28,3,17,0,4,Merkezi,2,1,True,False,False,0,False,809902
1000764,Diyarbakır,Daire,116,88,4,27,1,1,Klima,1,1,False,True,True,100,True,372510
1001593,İstanbul,Ofis,188,142,0,60,3,10,Merkezi,1,1,True,False,False,0,True,4552498
1014232,İstanbul,Daire,173,124,3,19,0,3,Soba,1,0,True,True,True,156,True,3610261
1005872,Eskişehir,Daire,193,165,4,77,16,18,Klima,2,2,True,False,True,213,True,839511
